Serial Capture Session Started - 2025-10-19 21:08:44.965
Software: COM7, Machine: COM15, Baud: 19200
================================================================================
*** Forwarding ENABLED - 'R' received from Software ***
[2025-10-19 21:09:02.531] Machine → Software: 38 30 30 30 (8000)
[2025-10-19 21:09:02.531] Machine → Software: 32 43 30 (2C0)
[2025-10-19 21:09:02.532] Machine → Software: 33 30 32 30 30 (30200)
[2025-10-19 21:09:02.533] Machine → Software: 30 30 30 33 (0003)
[2025-10-19 21:09:02.534] Machine → Software: 30 35 30 30 (0500)
[2025-10-19 21:09:02.534] Machine → Software: 30 30 30 30 (0000)
[2025-10-19 21:09:02.535] Machine → Software: 46 46 46 (FFF)
[2025-10-19 21:09:02.554] Machine → Software: 46 46 46 30 30 46 43 36 30 30 (FFF00FC600)
[2025-10-19 21:09:03.173] Machine → Software: 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 4F (0000000000000000000O)
[2025-10-19 21:09:03.182] Software → Machine: 52 (R)
[2025-10-19 21:09:03.183] Machine → Software: 52 (R)
[2025-10-19 21:09:03.185] Software → Machine: 32 (2)
[2025-10-19 21:09:03.186] Machine → Software: 32 (2)
[2025-10-19 21:09:03.188] Software → Machine: 30 (0)
[2025-10-19 21:09:03.189] Machine → Software: 30 (0)
[2025-10-19 21:09:03.191] Software → Machine: 30 (0)
[2025-10-19 21:09:03.192] Machine → Software: 30 (0)
[2025-10-19 21:09:03.194] Software → Machine: 31 (1)
[2025-10-19 21:09:03.195] Machine → Software: 31 (1)
[2025-10-19 21:09:03.197] Software → Machine: 30 (0)
[2025-10-19 21:09:03.198] Machine → Software: 30 (0)
[2025-10-19 21:09:03.199] Software → Machine: 30 (0)
[2025-10-19 21:09:03.201] Machine → Software: 30 (0)
[2025-10-19 21:09:03.202] Machine → Software: 35 33 35 32 34 (53524)
[2025-10-19 21:09:03.203] Machine → Software: 44 35 36 33 30 (D5630)
[2025-10-19 21:09:03.203] Machine → Software: 33 33 32 45 (332E)
[2025-10-19 21:09:03.205] Machine → Software: 33 30 33 31 32 30 (303120)
[2025-10-19 21:09:03.206] Machine → Software: 30 30 34 36 37 32 (004672)
[2025-10-19 21:09:03.207] Machine → Software: 36 39 37 34 37 41 (69747A)
[2025-10-19 21:09:03.218] Machine → Software: 32 30 34 37 36 (20476)
[2025-10-19 21:09:05.222] Machine → Software: 35 36 37 36 31 37 35 36 36 32 30 34 31 34 37 30 44 30 30 34 46 36 33 37 34 32 30 4F (5676175662041470D004F637420O)
[2025-10-19 21:09:05.223] Software → Machine: 52 52 (RR)
[2025-10-19 21:09:05.224] Machine → Software: 52 (R)
[2025-10-19 21:09:05.225] Machine → Software: 3F (?)
[2025-10-19 21:09:05.245] Software → Machine: 46 (F)
[2025-10-19 21:09:05.246] Machine → Software: 51 (Q)
[2025-10-19 21:09:05.295] Software → Machine: 52 (R)
[2025-10-19 21:09:05.296] Machine → Software: 52 (R)
[2025-10-19 21:09:05.916] Software → Machine: 02 66 03 6B (.f.k)
[2025-10-19 21:09:05.918] Machine → Software: 3F 51 (?Q)
[2025-10-19 21:09:05.919] Machine → Software: 51 51 (QQ)
[2025-10-19 21:09:05.920] Software → Machine: 46 (F)
[2025-10-19 21:09:05.921] Machine → Software: 51 (Q)
[2025-10-19 21:09:05.966] Software → Machine: 52 (R)
[2025-10-19 21:09:05.967] Machine → Software: 52 (R)
[2025-10-19 21:09:05.986] Software → Machine: 46 (F)
[2025-10-19 21:09:05.987] Machine → Software: 46 (F)
[2025-10-19 21:09:06.006] Software → Machine: 3F (?)
[2025-10-19 21:09:06.008] Machine → Software: 3F (?)
[2025-10-19 21:09:06.026] Software → Machine: 52 (R)
[2025-10-19 21:09:06.027] Machine → Software: 52 (R)
[2025-10-19 21:09:06.029] Software → Machine: 30 (0)
[2025-10-19 21:09:06.030] Machine → Software: 30 (0)
[2025-10-19 21:09:06.032] Software → Machine: 32 (2)
[2025-10-19 21:09:06.033] Machine → Software: 32 (2)
[2025-10-19 21:09:06.035] Software → Machine: 34 (4)
[2025-10-19 21:09:06.036] Machine → Software: 34 (4)
[2025-10-19 21:09:06.038] Software → Machine: 30 (0)
[2025-10-19 21:09:06.039] Machine → Software: 30 (0)
[2025-10-19 21:09:06.041] Software → Machine: 30 (0)
[2025-10-19 21:09:06.042] Machine → Software: 30 (0)
[2025-10-19 21:09:06.043] Software → Machine: 34 (4)
[2025-10-19 21:09:06.045] Machine → Software: 34 (4)
[2025-10-19 21:09:06.045] Machine → Software: 30 30 46 46 (00FF)
[2025-10-19 21:09:06.046] Machine → Software: 46 45 44 34 (FED4)
[2025-10-19 21:09:06.047] Machine → Software: 30 30 30 (000)
[2025-10-19 21:09:06.047] Machine → Software: 32 30 33 46 (203F)
[2025-10-19 21:09:06.048] Machine → Software: 43 30 30 30 (C000)
[2025-10-19 21:09:06.049] Machine → Software: 32 38 32 (282)
[2025-10-19 21:09:07.245] Machine → Software: 41 45 30 30 (AE00)
[2025-10-19 21:09:08.769] Machine → Software: 30 32 30 34 32 32 30 30 30 32 30 31 44 43 30 30 30 32 34 30 38 30 30 30 46 46 46 45 45 34 30 30 30 32 30 34 32 34 4F (020422000201DC0002408000FFFEE400020424O)
[2025-10-19 21:09:08.770] Software → Machine: 52 (R)
[2025-10-19 21:09:08.772] Machine → Software: 52 (R)
[2025-10-19 21:09:08.774] Software → Machine: 46 (F)
[2025-10-19 21:09:08.775] Machine → Software: 46 (F)
[2025-10-19 21:09:08.777] Software → Machine: 46 (F)
[2025-10-19 21:09:08.778] Machine → Software: 46 (F)
[2025-10-19 21:09:08.780] Software → Machine: 46 (F)
[2025-10-19 21:09:08.781] Machine → Software: 46 (F)
[2025-10-19 21:09:08.783] Software → Machine: 45 (E)
[2025-10-19 21:09:08.784] Machine → Software: 45 (E)
[2025-10-19 21:09:08.786] Software → Machine: 44 (D)
[2025-10-19 21:09:08.787] Machine → Software: 44 (D)
[2025-10-19 21:09:08.789] Software → Machine: 39 (9)
[2025-10-19 21:09:08.790] Machine → Software: 39 (9)
[2025-10-19 21:09:08.791] Machine → Software: 38 33 30 30 33 (83003)
[2025-10-19 21:09:08.792] Machine → Software: 33 30 30 30 (3000)
[2025-10-19 21:09:08.792] Machine → Software: 30 30 30 (000)
[2025-10-19 21:09:08.793] Machine → Software: 30 30 30 30 (0000)
