Serial Capture Session Started - 2025-10-15 23:19:33.068
Software: COM7, Machine: COM15, Baud: 57600
================================================================================
[2025-10-15 23:20:14.376] Software → Machine: 52 (R)
[2025-10-15 23:20:14.377] Machine → Software: 52 (R)
[2025-10-15 23:20:14.398] Software → Machine: 46 (F)
[2025-10-15 23:20:14.399] Machine → Software: 46 (F)
[2025-10-15 23:20:14.416] Software → Machine: 3F (?)
[2025-10-15 23:20:14.417] Machine → Software: 3F (?)
[2025-10-15 23:20:14.436] Software → Machine: 57 (W)
[2025-10-15 23:20:14.437] Machine → Software: 57 (W)
[2025-10-15 23:20:14.439] Software → Machine: 30 (0)
[2025-10-15 23:20:14.441] Machine → Software: 30 (0)
[2025-10-15 23:20:14.443] Software → Machine: 32 (2)
[2025-10-15 23:20:14.444] Machine → Software: 32 (2)
[2025-10-15 23:20:14.446] Software → Machine: 30 (0)
[2025-10-15 23:20:14.447] Machine → Software: 30 (0)
[2025-10-15 23:20:14.448] Software → Machine: 31 (1)
[2025-10-15 23:20:14.450] Machine → Software: 31 (1)
[2025-10-15 23:20:14.451] Software → Machine: 44 (D)
[2025-10-15 23:20:14.452] Machine → Software: 44 (D)
[2025-10-15 23:20:14.454] Software → Machine: 43 (C)
[2025-10-15 23:20:14.456] Machine → Software: 43 (C)
[2025-10-15 23:20:14.457] Software → Machine: 32 (2)
[2025-10-15 23:20:14.459] Machine → Software: 32 (2)
[2025-10-15 23:20:14.460] Software → Machine: 41 (A)
[2025-10-15 23:20:14.461] Machine → Software: 41 (A)
[2025-10-15 23:20:14.463] Software → Machine: 3F (?)
[2025-10-15 23:20:14.464] Machine → Software: 3F (?)
[2025-10-15 23:20:14.466] Software → Machine: 57 (W)
[2025-10-15 23:20:14.467] Machine → Software: 57 (W)
[2025-10-15 23:20:14.469] Software → Machine: 30 (0)
[2025-10-15 23:20:14.470] Machine → Software: 30 (0)
[2025-10-15 23:20:14.472] Software → Machine: 32 (2)
[2025-10-15 23:20:14.474] Machine → Software: 32 (2)
[2025-10-15 23:20:14.476] Software → Machine: 30 (0)
[2025-10-15 23:20:14.477] Machine → Software: 30 (0)
[2025-10-15 23:20:14.479] Software → Machine: 31 (1)
[2025-10-15 23:20:14.480] Machine → Software: 31 (1)
[2025-10-15 23:20:14.482] Software → Machine: 45 (E)
[2025-10-15 23:20:14.483] Machine → Software: 45 (E)
[2025-10-15 23:20:14.485] Software → Machine: 31 (1)
[2025-10-15 23:20:14.486] Machine → Software: 31 (1)
[2025-10-15 23:20:14.488] Software → Machine: 30 (0)
[2025-10-15 23:20:14.489] Machine → Software: 30 (0)
[2025-10-15 23:20:14.491] Software → Machine: 31 (1)
[2025-10-15 23:20:14.492] Machine → Software: 31 (1)
[2025-10-15 23:20:14.493] Software → Machine: 3F (?)
[2025-10-15 23:20:14.494] Machine → Software: 3F (?)
[2025-10-15 23:20:14.496] Software → Machine: 57 (W)
[2025-10-15 23:20:14.497] Machine → Software: 57 (W)
[2025-10-15 23:20:14.499] Software → Machine: 46 (F)
[2025-10-15 23:20:14.500] Machine → Software: 46 (F)
[2025-10-15 23:20:14.501] Software → Machine: 46 (F)
[2025-10-15 23:20:14.502] Machine → Software: 46 (F)
[2025-10-15 23:20:14.504] Software → Machine: 46 (F)
[2025-10-15 23:20:14.505] Machine → Software: 46 (F)
[2025-10-15 23:20:14.507] Software → Machine: 45 (E)
[2025-10-15 23:20:14.508] Machine → Software: 45 (E)
[2025-10-15 23:20:14.510] Software → Machine: 44 (D)
[2025-10-15 23:20:14.511] Machine → Software: 44 (D)
[2025-10-15 23:20:14.512] Software → Machine: 30 (0)
[2025-10-15 23:20:14.514] Machine → Software: 30 (0)
[2025-10-15 23:20:14.515] Software → Machine: 30 (0)
[2025-10-15 23:20:14.516] Machine → Software: 30 (0)
[2025-10-15 23:20:14.518] Software → Machine: 34 (4)
[2025-10-15 23:20:14.519] Machine → Software: 34 (4)
[2025-10-15 23:20:14.520] Software → Machine: 30 (0)
